0,dividend
2022-09-27,1.779
2022-09-26,1.775
2022-09-23,1.757
2022-09-22,1.727
2022-09-21,1.712
2022-09-20,1.683
2022-09-19,1.664
2022-09-16,1.675
2022-09-15,1.663
2022-09-14,1.644
2022-09-13,1.65
2022-09-12,1.579
2022-09-09,1.595
2022-09-08,1.62
2022-09-07,1.63
2022-09-06,1.66
2022-09-02,1.654
2022-09-01,1.636
2022-08-31,1.641
2022-08-30,1.617
2022-08-29,1.599
2022-08-26,1.588
2022-08-25,1.535
2022-08-24,1.556
2022-08-23,1.561
2022-08-22,1.558
2022-08-19,1.524
2022-08-18,1.505
2022-08-17,1.508
2022-08-16,1.497
2022-08-15,1.5
2022-08-12,1.506
2022-08-11,1.532
2022-08-10,1.531
2022-08-09,1.563
2022-08-08,1.557
2022-08-05,1.555
2022-08-04,1.552
2022-08-03,1.551
2022-08-02,1.575
2022-08-01,1.565
2022-07-29,1.55
2022-07-28,1.572
2022-07-27,1.591
2022-07-26,1.633
2022-07-25,1.614
2022-07-22,1.616
2022-07-21,1.601
2022-07-20,1.617
2022-07-19,1.626
2022-07-18,1.671
2022-07-15,1.657
2022-07-14,1.689
2022-07-13,1.684
2022-07-12,1.676
2022-07-11,1.661
2022-07-08,1.642
2022-07-07,1.64
2022-07-06,1.665
2022-07-05,1.671
2022-07-01,1.674
2022-06-30,1.691
2022-06-29,1.659
2022-06-28,1.657
2022-06-27,1.624
2022-06-24,1.619
2022-06-23,1.669
2022-06-22,1.685
2022-06-21,1.682
2022-06-17,1.724
2022-06-16,1.727
2022-06-15,1.671
2022-06-14,1.696
2022-06-13,1.689
2022-06-10,1.624
2022-06-09,1.576
2022-06-08,1.539
2022-06-07,1.522
2022-06-06,1.537
2022-06-03,1.542
2022-06-02,1.516
2022-06-01,1.544
2022-05-31,1.533
2022-05-27,1.507
2022-05-26,1.544
2022-05-25,1.575
2022-05-24,1.59
2022-05-23,1.577
2022-05-20,1.606
2022-05-19,1.606
2022-05-18,1.597
2022-05-17,1.532
